rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
893,أَهۡلَكۡنَا,15,Kami telah binasakan,7,Kami telah membinasakan,2,Kami telah binasakan,,outside_policy | long_gloss | entity_or_pronoun_shift,70.50,20:128:5 | 46:27:2,We (have) destroyed | We destroyed,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
894,كُلّٞ,19,masing-masing,6,setiap mereka,1,masing-masing,semuanya,outside_policy | entity_or_pronoun_shift,70.47,36:32:2,all,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
895,كُلّٞ,19,masing-masing,6,tiap-tiap (orang),1,masing-masing,semuanya,outside_policy | parenthetical,70.47,17:84:2,Each,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
896,لَيۡسَ,38,tidak,12,ada (terkandung),1,tidak,tidak ada | tidak/bukan,outside_policy | parenthetical,70.47,3:167:27,was not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
897,أُوتُواْ,31,(mereka) diberi,27,mereka diberi,3,(mereka) diberi,,outside_policy | entity_or_pronoun_shift,70.46,47:16:12 | 59:9:17 | 98:4:4,were given | they were given | were given,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
898,مَآ,117,apa,68,tidak ada,1,apa,apa yang | tidak,outside_policy,70.44,21:6:1,Not,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
899,مَآ,117,apa,68,tidak lain,1,apa,apa yang | tidak,outside_policy,70.44,26:154:1,Not,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
900,مَآ,117,apa,68,tidakkah,1,apa,apa yang | tidak,outside_policy,70.44,68:2:1,Not,"Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
901,مِمَّا,51,dari apa,16,dari sebagian apa,1,dari apa,,outside_policy | long_gloss,70.41,13:22:9,from what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
902,مِمَّا,51,dari apa,16,daripada apa/harta,1,dari apa,,outside_policy | slash_gloss,70.41,4:176:31,of what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
903,مِمَّا,51,dari apa,16,daripadanya/di antaranya,1,dari apa,,outside_policy | slash_gloss,70.41,10:24:13,from which,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
904,مِمَّا,51,dari apa,16,kerana apa(kejahatan),1,dari apa,,outside_policy | parenthetical,70.41,42:22:4,of what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
905,وَكُنَّا,16,dan kami adalah,5,dan adalah kita,1,dan kami adalah,,outside_policy | long_gloss,70.38,37:53:3,and become,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
906,تَوَلَّوۡاْ,19,mereka berpaling,11,berpaling,1,mereka berpaling,,outside_policy,70.37,2:137:10,they turn away,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
907,قَبۡلُ,45,sebelum,26,sejak dahulu,1,sebelum,,outside_policy,70.33,10:91:4,before,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
908,مَن,223,orang,69,siap/apa,1,siapa,barang siapa | orang | orang yang,outside_policy | slash_gloss,70.28,13:15:3,whoever,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
909,لَنَا,54,bagi kami,31,kepada kita,1,bagi kami,untuk kami,outside_policy,70.22,23:47:6,for us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
910,إِنَّ,596,sesungguhnya,590,sesunguhnya,2,sesungguhnya,,outside_policy,70.20,4:58:21 | 58:20:1,Indeed | Indeed,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
911,ٱلظَّـٰلِمِينَ,63,orang-orang yang zalim,55,orang-orang yang zalim/aniaya,1,orang-orang yang zalim,,outside_policy | slash_gloss | long_gloss | annotative_expansion,70.19,43:76:6,wrongdoers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
912,كُلَّ,49,setiap,15,segala/habis-habis,1,setiap,segala | tiap-tiap,outside_policy | slash_gloss,70.18,17:29:9,(to its) utmost,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
913,كُلَّ,49,setiap,15,segala/tiap-tiap,1,setiap,segala | tiap-tiap,outside_policy | slash_gloss,70.18,25:2:16,every,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
914,وَكَانُواْ,30,dan adalah mereka,22,dan mereka adalah,6,dan adalah mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,70.17,2:89:10 | 6:159:5 | 7:146:34 | 7:148:21 | 11:116:25,though they used to | and become | and they were | and they were | and they were,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
915,أَوۡلِيَآءَ,20,pemimpin,6,pelindung/penolong,1,pemimpin,pelindung | pelindung-pelindung,outside_policy | slash_gloss,70.00,4:139:4,(as) allies,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
916,أَوۡلِيَآءَ,20,pemimpin,6,penolong/sahabat,1,pemimpin,pelindung | pelindung-pelindung,outside_policy | slash_gloss,70.00,60:1:8,(as) allies,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
917,خَيۡرٗا,30,lebih baik,17,kebajikan,1,lebih baik,,outside_policy,70.00,2:269:10,good,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
918,كُلُّ,46,tiap-tiap,26,masing-masing,1,tiap-tiap,,outside_policy,69.96,23:91:13,each,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
919,كُلُّ,46,tiap-tiap,26,tiap,1,tiap-tiap,,outside_policy,69.96,30:32:7,each,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
920,ٱلَّذِيٓ,52,yang,45,(Allah) yang,1,yang,,outside_policy | parenthetical | entity_or_pronoun_shift | annotative_expansion,69.96,25:10:2,Who,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
921,سَمِعۡنَا,16,kami mendengar,9,mendengar,1,kami mendengar,,outside_policy,69.88,28:36:13,we heard,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
922,عَلَيۡهِمۡ,120,atas mereka,102,kepada mereka,3,atas mereka,,outside_policy | entity_or_pronoun_shift,69.83,33:9:12 | 37:93:2 | 105:3:2,upon them | upon them | against them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
923,ءَاتَيۡنَا,17,Kami telah memberikan,5,Kami datangkan,1,Kami telah memberikan,,outside_policy | entity_or_pronoun_shift,69.82,2:53:2,We gave,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
924,تَذَكَّرُونَ,17,kamu mengambil pelajaran,5,kamu mengingat,1,kamu mengambil pelajaran,,outside_policy | entity_or_pronoun_shift,69.82,27:62:16,you remember,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
925,وَهُوَ,169,dan Dia,120,dan/padahal ia,2,dan Dia,dan dia,outside_policy | slash_gloss,69.80,2:204:15 | 2:216:11,and he | and it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
926,جَعَلَ,43,menjadikan,24,dia jadikan,1,menjadikan,,outside_policy,69.74,29:10:11,he considers,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
927,بِهِۦ,220,dengannya,122,dengan dia,1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy,69.64,46:8:19,Sufficient is He,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
928,بِهِۦ,220,dengannya,122,dengan itu,1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy,69.64,2:22:13,therewith,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
929,بِهِۦ,220,dengannya,122,denganya,1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy,69.64,18:45:11,with it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
930,بِهِۦ,220,dengannya,122,tentang itu,1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy,69.64,40:42:9,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
931,بِهِۦ,220,dengannya,122,terhadapnya,1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy,69.64,12:72:11,for it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
932,رَبِّكَ,70,Tuhanmu,68,tuanmu,2,Tuhanmu,,outside_policy,69.64,12:42:9 | 12:50:11,your master | your lord,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
933,كُلِّ,123,segala,68,segenap,1,segala,setiap | tiap-tiap,outside_policy,69.59,14:17:8,every,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
934,كُلِّ,123,segala,68,semua,1,segala,setiap | tiap-tiap,outside_policy,69.59,11:59:10,(of) every,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
935,ٱلَّذِي,216,yang,184,(Allah) yang,1,yang,,outside_policy | parenthetical | entity_or_pronoun_shift | annotative_expansion,69.56,25:1:2,Who,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
936,مَّن,49,orang,27,barangsiapa,1,orang,barang siapa | siapa,outside_policy,69.53,17:18:1,Whoever,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
937,مَّن,49,orang,27,siapa yang,1,orang,barang siapa | siapa,outside_policy,69.53,53:29:3,(him) who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
938,مَّن,49,orang,27,siapakah,1,orang,barang siapa | siapa,outside_policy,69.53,2:245:1,Who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
939,وَعَمِلُواْ,53,dan mereka beramal,23,dan mereka mengerjakan,2,dan mereka beramal,dan beramal | dan mereka berbuat/beramal,outside_policy | long_gloss | entity_or_pronoun_shift,69.52,2:82:3 | 4:57:3,and did | and did,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
940,عَلَيۡهِمۡ,120,atas mereka,102,atas atas mereka,1,atas mereka,,outside_policy | long_gloss | entity_or_pronoun_shift | annotative_expansion,69.50,76:19:2,among them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
941,إِنَّهُۥ,141,sesungguhnya Dia,61,sesungguhnya ia (Al Qur'an),2,sesungguhnya Dia,sesungguhnya | sesungguhnya dia | sesungguhnya ia,outside_policy | parenthetical | long_gloss,69.48,69:40:1 | 86:13:1,"Indeed, it (is) | Indeed, it","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
942,وَمَنۡ,46,dan barang siapa,13,dan orang yang,1,dan barang siapa,dan barangsiapa | dan orang | dan orang-orang | dan siapa | dan siapakah,outside_policy | long_gloss,69.48,42:7:9,and whoever,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
943,لِمَن,31,bagi siapa,17,kepada orang,1,bagi siapa,,outside_policy,69.45,3:73:4,(the one) who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
944,بِمَا,253,dengan apa,71,dengan/segala apa,1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,69.42,15:94:2,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
945,بِمَا,253,dengan apa,71,dengan/terhadap,1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,69.42,29:10:28,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
946,بِمَا,253,dengan apa,71,dengan/terhadap apa-apa,1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,69.42,58:13:23,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
947,بِمَا,253,dengan apa,71,dengan/terhadap/apa,1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss,69.42,24:41:20,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
948,بِمَا,253,dengan apa,71,terhadap apa yang,1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | long_gloss,69.42,31:29:23,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
949,لَكَ,55,bagimu,30,kepada Engkau,1,bagimu,kepadamu,outside_policy,69.36,3:35:8,to You,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
950,لَكَ,55,bagimu,30,pada Engkau,1,bagimu,kepadamu,outside_policy,69.36,2:128:4,to You,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
951,لَكَ,55,bagimu,30,terhadapmu,1,bagimu,kepadamu,outside_policy,69.36,17:48:4,for you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
952,لَكَ,55,bagimu,30,tidak ada,1,bagimu,kepadamu,outside_policy,69.36,13:37:14,for you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
953,لَكَ,55,bagimu,30,untukmu,1,bagimu,kepadamu,outside_policy,69.36,9:48:7,for you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
954,وَلَا,604,dan tidak,329,and not,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,69.34,36:40:8,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
955,وَلَا,604,dan tidak,329,dan tanpa,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,69.34,31:20:26,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
956,وَلَا,604,dan tidak,329,jangan,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,69.34,7:86:1,And (do) not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
957,وَلَا,604,dan tidak,329,maka tidak,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,69.34,2:173:17,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
958,وَلَا,604,dan tidak,329,seorang pelindung,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy,69.34,13:37:19,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
959,ءَايَٰتِنَا,18,ayat-ayat Kami,15,tanda-tanda Kami,3,ayat-ayat Kami,,outside_policy | entity_or_pronoun_shift,69.33,15:81:2 | 20:23:3 | 41:53:2,Our Signs | Our Signs | Our Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
960,أَلَمۡ,72,tidakkah,20,apakah tidak/bukankah,1,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,69.33,94:1:1,Have not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
961,أَلَمۡ,72,tidakkah,20,apakah tidak/bukanlah,1,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,69.33,93:6:1,Did not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
962,أَلَمۡ,72,tidakkah,20,apakah tidak/tidaklah,1,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,69.33,96:14:1,Does not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
963,أَلَمۡ,72,tidakkah,20,tidaklah/bukankah,1,tidakkah,apakah tidak | bukankah | tidaklah,outside_policy | slash_gloss,69.33,77:20:1,Did not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
964,يَرَوۡاْ,24,mereka memperhatikan,13,melihat,1,mereka memperhatikan,,outside_policy,69.25,54:2:2,they see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
965,ٱلۡمُرۡسَلِينَ,24,para Rasul,13,Rasul-Rasul,1,para Rasul,,outside_policy,69.25,6:34:22,(of) the Messengers,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
966,ٱلۡمُرۡسَلِينَ,24,para Rasul,13,Rasul-rasul,1,para Rasul,,outside_policy,69.25,25:20:5,Messengers,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
967,ٱلۡمُرۡسَلِينَ,24,para Rasul,13,utusan-utusan,1,para Rasul,,outside_policy,69.25,36:20:10,the Messengers,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
968,عَلَى,242,atas,131,daripada,1,atas,atas/terhadap | di atas | kepada | terhadap,outside_policy,69.24,41:17:6,over,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
969,عَلَى,242,atas,131,dosanya,1,atas,atas/terhadap | di atas | kepada | terhadap,outside_policy,69.24,2:181:8,(would be) on,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
970,عَلَى,242,atas,131,ke,1,atas,atas/terhadap | di atas | kepada | terhadap,outside_policy,69.24,46:34:5,to,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
971,وَمَآ,131,dan tidak,36,dan apa(peringatan),1,dan apa,dan apa yang | dan tidak | dan tidaklah,outside_policy | parenthetical,69.24,18:56:16,and what,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
972,وَمَآ,131,dan tidak,36,dan kepada apa,1,dan apa,dan apa yang | dan tidak | dan tidaklah,outside_policy | long_gloss,69.24,8:41:20,and (in) what,Defaultkan kepada token-faithful gloss; jangan serap makna frasa jiran.
973,لِلَّذِينَ,50,bagi orang-orang yang,27,bagi orang-orang,1,bagi orang-orang yang,,outside_policy,69.20,57:21:12,for those who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
974,لِلَّذِينَ,50,bagi orang-orang yang,27,terhadap orang-orang,1,bagi orang-orang yang,,outside_policy,69.20,5:44:12,for those who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
